,0
745,6964881
746,7786682
747,8374920
748,6600963
749,9223186
750,9237473
751,6446718
752,5597346
753,9088542
754,8174883
755,5878577
756,7308986
757,8916744
758,6211789
759,8788954
760,8209218
761,5777494
762,8519339
763,6028462
764,8514906
765,8226166
766,9771373
767,6839266
768,5293825
769,5367119
770,6481724
771,7353710
772,9437168
773,6496195
774,5886687
775,7855789
776,6081415
777,6942661
778,8231821
779,5879114
780,9939124
781,7987107
782,7823230
783,7635057
784,5190678
785,6626488
786,8284459
787,7182166
788,6699191
789,6684158
790,6626855
791,8126859
792,7304646
793,8540060
794,6401556
795,5784512
796,9175133
797,6327881
798,8757204
799,6514059
800,9496755
801,6941378
802,9973111
803,9252428
804,7159381
805,7349314
806,5022526
807,8788016
808,9326875
809,8602887
810,7380126
811,7499643
812,6757654
813,5740350
814,6728935
815,7239563
816,9903912
817,6597491
818,8008679
819,8404747
820,7252920
821,9737118
822,7560132
823,6777864
824,5882762
825,7339267
826,5724296
827,5481346
828,6965792
829,8262418
830,7214518
831,5058999
832,8663248
833,9522107
834,8716483
835,9140053
836,9872214
837,6301784
838,9622066
839,8085179
840,5196855
841,9394329
842,5703300
843,8357334
844,5471947
845,8850491
846,8826880
847,6725485
848,7730835
849,8181879
850,5615169
851,7081876
852,6375546
853,9929609
854,9844357
855,9998151
856,7750545
857,5950297
858,9200016
859,7692481
860,6509620
861,8284592
862,9615232
863,7441164
864,9826828
865,9093032
866,8664550
867,9369766
868,9323682
869,8974040
870,8096119
871,8013655
872,5067289
873,8987641
874,9242444
875,9960918
876,7941993
877,7117233
878,7339158
879,6592483
880,9314870
881,7334142
882,8965123
883,9686792
884,5315078
885,5285024
886,6400294
887,8033483
888,7680187
889,6519311
890,8375242
891,6385888
892,8631328
893,9163368
894,7895201
895,9297454
896,5180312
897,6415629
898,5056743
899,6983579
900,5106649
901,5140833
902,6668652
903,7626724
904,8189387
905,8097087
906,7646186
907,7639392
908,8503386
909,7691688
910,7015304
911,9142192
912,9554879
913,5722557
914,9611336
915,6978945
916,8846485
917,6613610
918,6334835
919,7340905
920,5495956
921,9667767
922,8989024
923,5439112
