,Unnamed: 0.1,user_id,num_revs,nationality,group,age
3212,4776,9182250,2,USA,,not specified
3213,4777,6891362,7,Italy,Female,25-30
3214,4780,8238793,1,Singapore,,not specified
3215,4781,9256371,1,Germany,Male,25-30
3216,4783,6960353,10,New Zealand,Male,25-30
3217,4784,9611932,3,Canada,Male,18-24
3218,4785,6280795,1,Egypt,Couple,25-30
3219,4786,5915700,1,England,,not specified
3220,4787,9770561,1,Germany,Female,31-40
3221,4788,8259610,1,Costa Rica,,not specified
3222,4789,6033236,2,England,Female,41+
3223,4790,9835989,2,France,Male,25-30
3224,4791,8941132,1,Czech Republic,,not specified
3225,4793,6687790,1,Switzerland,Female,25-30
3226,4794,7605628,3,Ireland,,not specified
3227,4795,5790416,2,Israel,Female,25-30
3228,4796,7514934,4,Canada,,not specified
3229,4797,9297448,1,France,,not specified
3230,4799,5193254,5,China,,not specified
3231,4801,9150926,4,USA,Mixed Group,25-30
3232,4803,6607791,1,Canada,,not specified
3233,4804,5567308,1,South Korea,,not specified
3234,4805,7024035,1,Canada,,not specified
3235,4806,5691381,1,Norway,INACOUPLE,25-30
3236,4808,8016494,1,Canada,Male,41+
3237,4811,8489309,1,Canada,Mixed Group,25-30
3238,4813,9306406,1,Netherlands,,not specified
3239,4818,9894928,1,USA,Female,25-30
3240,4820,9012934,5,Germany,Female,31-40
3241,4821,5377277,1,Thailand,,not specified
3242,4823,9817519,3,USA,,not specified
3243,4824,7428033,1,USA,Male,18-24
3244,4828,8946248,1,USA,Mixed Group,25-30
3245,4830,9312238,1,Croatia,Male,25-30
3246,4831,9412193,1,Japan,,not specified
3247,4832,7190230,1,Italy,,not specified
3248,4834,8026901,2,France,,not specified
3249,4837,8912879,1,Austria,Female,18-24
3250,4838,7561819,2,Turkey,Male,31-40
3251,4839,8555242,3,USA,,not specified
3252,4840,7058164,2,USA,,not specified
3253,4842,9624368,1,England,Male,25-30
3254,4843,8562798,2,USA,Male,25-30
3255,4844,8445501,1,England,,not specified
3256,4846,5250314,4,China,,not specified
3257,4848,6024603,1,Slovenia,Male,25-30
3258,4850,7477510,2,Germany,Female,25-30
3259,4851,5026097,4,Spain,Male,31-40
