,hostel_id,hostel
618,618,Hostel Lozanni
619,619,Old Prague Hostel
620,620,Metropol Hostel Berlin
621,621,Little Quarter Hostel
622,622,Petrinska Hostel & Apartments
623,623,YHA London St Pauls
624,624,Bostel Amsterdamse Bos
625,625,Funky Cordoba
626,626,Mango Tulum Hotel
627,627,Hostel Central Station
628,628,Sunshine Bedz KL
629,629,J-Hoppers Kyoto Guest House
630,630,Hotel Telecom Guest
631,631,Avenir Hotel
632,632,Hotel Bussola
633,633,Hotel de la Tour Eiffel
634,634,Kristan Matjaz Apartments
635,635,Hotel Arno
636,636,Venice Hotel Villa Dori
637,637,Be Sound Hostel
638,638,Hostal Central
639,639,Smart Hyde Park Inn Hostel
640,640,Carlito's Way
641,641,St Christopher's Inn - Bauhaus Hostel
642,642,Guzel Izmir Oteli
643,643,Q4 Hotel
644,644,A&O Dortmund Hauptbahnhof
645,645,Yesinn @Fortress Hill
646,646,HI Phoenix - The Metcalf House
647,647,Hostel Uppelink Ghent
648,648,USA Hostels San Francisco
649,649,Bed & Breakfast dei Templi
650,650,Porzellaneum
651,651,Studios Margo
652,652,Hotel Bonsejour Montmartre
653,653,Gilligan's Backpacker Hotel & Resort Cairns
654,654,Pension Santa Paula
655,655,Rising Cock Party Hostel
656,656,El Refugio Hostel
657,657,Sant Jordi Hostel Gracia
658,658,Karma Backpackers
659,659,Brisbane Backpackers Resort
660,660,Hotel Central
661,661,La Posta Hostel and Apart
662,662,Ethic Etapes Dijon
663,663,The Bulldog
664,664,Conte House B&B
665,665,Funny-Farm
666,666,Garnish House
667,667,Robby's House
668,668,La Sienna
669,669,Hostel Des Artistes
670,670,Papa Germano
671,671,Apple Hostels of Philadelphia
672,672,Backpackers Hostel & Pub
673,673,Smart Russell Square Hostel
674,674,YHA Auckland City
675,675,Astoria City Hostel
676,676,Hostel DownTown
677,677,Residencia Campus del Mar
678,678,Smyle Inn
679,679,Hostal El Triunfo
680,680,Terrazas Estoril
681,681,Aji Hostel
682,682,Sydney Central YHA
683,683,Hotel Verdi
684,684,B&B Il Magnifico
685,685,Bedwood Hostel
686,686,Baby Lemonade Hostel
687,687,Old Centre Hostel
688,688,Best Island Hostel
689,689,HI San Francisco - Downtown
690,690,Walk of Fame Hollywood Hostel
691,691,Hostel Alessandro Downtown
692,692,Venice Beach Hostel
693,693,Home Made House/Hostel
694,694,The Dreamer
695,695,Sunflower Beach Backpacker Hostel
696,696,Barnacles Quay Street Galway City
697,697,Guest House Kyoto
698,698,Greenpoint Lodge
699,699,Backpackers INSIDE
700,700,P.LOFT Youth Hostel
701,701,Hostel Dino
702,702,Jacques Brel Youth Hostel
703,703,Affittacamere Patrizia
704,704,Welcome Hostel Prague Center
705,705,Teddy Bear Hostel Riga
706,706,OldHouse Hostel
707,707,Loki Backpackers Hostel
708,708,Valley Hostel
709,709,Brunsko
710,710,Chambers of the Boheme
711,711,HI-Vancouver Jericho Beach
712,712,Mayview Glory Hotel
713,713,Schlafmeile Hostel
714,714,Youthhostel Bern
715,715,A&C Much More
716,716,Hotel Europa Life
717,717,IchiEnSou
718,718,Hotel San Tomaso
719,719,Red Lantern House
720,720,Marken Gjestehus
721,721,Singsaker Sommerhotell
722,722,Wombats City Hostel Vienna - at the Naschmarkt
723,723,Rome Accommodation
724,724,WeltempfÃ¤nger Backpacker Hostel
725,725,All Days Hostel
726,726,Samesun Montreal Central
727,727,A&O Dresden Hauptbahnhof
728,728,Hatters on Newton Street
729,729,Hostal Republica
730,730,Downtown Accommodation
731,731,Hotel Anita
732,732,B&B Al Saor
733,733,Hostel Riad Marrakech Rouge
734,734,Jimbocho Sakura Hotel
735,735,Southside
