,hostel,hostel_info,link
20,Internet Hostel Sofia,"[5-7, Awards:0, Bulgaria, Sofia, Free Breakfast, Linen Included, Free City Maps, Towels Included, Free WiFi, Free Internet Access , Security Lockers, Common Room, Elevator, Bicycle Parking, Adaptors, Hot Showers, Self-Catering Facilities, Cable TV, Hair Dryers For Hire, Parking, Hair Dryers, Ceiling Fan, Washing Machine, Steam Room, Internet Access, Laundry Facilities, Airport Transfers, Towels for hire, Luggage Storage, 24 Hour Reception, Tours/Travel Desk, 24 Hour Security, Restaurant, Bar, Meals Available, Cafe, Tea & Coffee Making Facilities, Child Friendly, Credit Cards Not Accepted, No Curfew, Non Smoking, Pet Friendly, Taxes Included, H_t5]",http://www.hostelworld.com/hosteldetails.php/Internet-Hostel-Sofia/Sofia/5078
21,Jacobs Inn,"[>8.5, Awards:1, Ireland, Dublin, Free Breakfast, Linen Included, Free City Maps, Free WiFi, Free Internet Access, Free City Tour , Wheelchair Friendly, Security Lockers, Key Card Access, Common Room, Elevator, Bicycle Parking, Adaptors, Book Exchange, Hot Showers, Self-Catering Facilities, Cooker, Fridge/Freezer, Dryer, Cable TV, Outdoor Terrace, Jobs Board, Hair Dryers, Iron / Ironing Board, Safe Deposit Box, Microwave, Card Phones, Washing Machine, Internet Access, Laundry Facilities, Airport Transfers, Bicycle Hire, Towels for hire, Luggage Storage, Fax Service, 24 Hour Reception, Tours/Travel Desk, Currency Exchange, Shuttle Bus, Postal Service, 24 Hour Security, Housekeeping, Late check-out, Reception (limited hours), Vending Machines, Cafe, Tea & Coffee Making Facilities, DVD's, Board Games, Games Room, Pool Table, Foosball, Wi-Fi, Child Friendly, Credit Cards Accepted, No Curfew, Non Smoking, Taxes Included, H_t1]",http://www.hostelworld.com/hosteldetails.php/Jacobs-Inn/Dublin/110
22,Tarifa Melting Pot Hostel,"[>8.5, Awards:0, Spain, Tarifa, Free Breakfast, Linen Included, Free Parking, Free City Maps, Free WiFi, Free Internet Access , Wheelchair Friendly, Security Lockers, Common Room, Bicycle Parking, Adaptors, Book Exchange, Hot Showers, Self-Catering Facilities, Dishwasher, Fridge/Freezer, Dryer, Outdoor Terrace, Reading Light, Jobs Board, Hair Dryers, Ceiling Fan, Iron / Ironing Board, Microwave, Washing Machine, Internet Access, Laundry Facilities, Airport Transfers, Towels for hire, Luggage Storage, 24 Hour Reception, Tours/Travel Desk, Bar, Cafe, Tea & Coffee Making Facilities, Board Games, Wi-Fi, Credit Cards Accepted, No Curfew, Taxes Included, H_t6]",http://www.hostelworld.com/hosteldetails.php/Tarifa-Melting-Pot-Hostel/Tarifa/20251
23,Tiber Hostel and Camping,"[7-8.5, Awards:0, Italy, Rome, Linen Included, Free Parking, Free City Maps, Free WiFi, Free Internet Access , Swimming Pool, Bicycle Parking, Breakfast Not Included, Book Exchange, Hot Showers, Dryer, Outdoor Terrace, Hair Dryers For Hire, Parking, Outdoor Swimming Pool, Microwave, Washing Machine, Towels Not Included, Internet Access, Laundry Facilities, Airport Transfers, Towels for hire, Luggage Storage, 24 Hour Reception, Shuttle Bus, 24 Hour Security, Restaurant, Bar, Meals Available, Vending Machines, Mini-Supermarket, Caf̩, Pool Table, Credit Cards Accepted, No Curfew, Pet Friendly, Taxes Not Included, H_t10]",http://www.hostelworld.com/hosteldetails.php/Tiber-Hostel-and-Camping/Rome/767
24,Hostelgate Privates,"[7-8.5, Awards:2, Lithuania, Vilnius, Free Parking, Free City Maps, Towels Included, Free Internet Access , Bicycle Parking, BBQ, Breakfast Not Included, Self-Catering Facilities, Cable TV, Outdoor Terrace, Parking, Hair Dryers, Bicycle Hire, Luggage Storage, Tea & Coffee Making Facilities, Child Friendly, Credit Cards Accepted, No Curfew, Taxes Included, H_t7]",http://www.hostelworld.com/hosteldetails.php/Hostelgate-Privates/Vilnius/13749
25,Urban House,"[7-8.5, Awards:0, Spain, San Sebastian, Linen Included, Free City Maps, Free WiFi, Free Internet Access , Elevator, Breakfast Not Included, Steam Room, Internet Access, Towels for hire, Luggage Storage, Tea & Coffee Making Facilities, Credit Cards Accepted, No Curfew, H_t2]",http://www.hostelworld.com/hosteldetails.php/Urban-House/San-Sebastian/414
26,Ciarus,"[>8.5, Awards:0, France, Strasbourg, Linen Included, Free City Maps, Towels Included, Free WiFi , Wheelchair Friendly, Security Lockers, Key Card Access, Common Room, Elevator, Bicycle Parking, Breakfast Not Included, Adaptors, Reading Light, Parking, Safe Deposit Box, Card Phones, Steam Room, Bicycle Hire, Luggage Storage, Fax Service, 24 Hour Reception, Tours/Travel Desk, Currency Exchange, Postal Service, 24 Hour Security, Housekeeping, Late check-out, Reception (limited hours), Restaurant, Bar, Cafe, Games Room, Credit Cards Accepted, No Curfew, Non Smoking, Taxes Not Included, H_t10]",http://www.hostelworld.com/hosteldetails.php/Ciarus/Strasbourg/7043
27,PLUS Berlin,"[>8.5, Awards:4, Germany, Berlin, Linen Included, Free City Maps, Free WiFi, Free Internet Access , Wheelchair Friendly, Security Lockers, Swimming Pool, Key Card Access, Common Room, Elevator, Bicycle Parking, BBQ, Breakfast Not Included, Meeting Rooms, Adaptors, Book Exchange, Hot Showers, Indoor Swimming Pool, Outdoor Terrace, Reading Light, Hair Dryers For Hire, Parking, Hair Dryers, Safe Deposit Box, Washing Machine, Steam Room, Internet Access, Laundry Facilities, Bicycle Hire, Towels for hire, Luggage Storage, Fax Service, 24 Hour Reception, Tours/Travel Desk, 24 Hour Security, Housekeeping, Restaurant, Bar, Meals Available, Vending Machines, Cafe, Wii, DVD's, Games Room, Pool Table, Foosball, Age Restriction, Credit Cards Accepted, No Curfew, H_t2]",http://www.hostelworld.com/hosteldetails.php/PLUS-Berlin/Berlin/40697
28,Cinnamon Hostel Poznan,"[7-8.5, Awards:0, Poland, Poznan, Linen Included, Free City Maps, Free WiFi , Security Lockers, Common Room, Breakfast Not Included, Meeting Rooms, Hot Showers, Self-Catering Facilities, Cable TV, Hair Dryers, Washing Machine, Steam Room, Internet Access, Laundry Facilities, Airport Transfers, Towels for hire, Luggage Storage, 24 Hour Reception, 24 Hour Security, Vending Machines, Mini-Supermarket, Tea & Coffee Making Facilities, Board Games, Credit Cards Accepted, No Curfew, Non Smoking, Pet Friendly, Taxes Included, H_t10]",http://www.hostelworld.com/hosteldetails.php/Cinnamon-Hostel-Poznan/Poznan/27667
29,Cool & Bed,"[7-8.5, Awards:0, France, Lyon, Free Breakfast, Linen Included, Free City Maps, Free WiFi, Free Internet Access , Wheelchair Friendly, Security Lockers, Common Room, Elevator, Air Conditioning, Meeting Rooms, Book Exchange, Hot Showers, Self-Catering Facilities, Reading Light, Hair Dryers, Washing Machine, Internet Access, Laundry Facilities, Towels for hire, Luggage Storage, 24 Hour Reception, Tours/Travel Desk, 24 Hour Security, Restaurant, Bar, Tea & Coffee Making Facilities, Credit Cards Accepted, Non Smoking, Taxes Included, H_t2]",http://www.hostelworld.com/hosteldetails.php/Cool-and-Bed/Lyon/62178
